#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	LED36	WS28115050	2	28.58	22.1	0	10	0
MNT=	LED37	WS28115050	2	37.47	22.1	0	10	0
MNT=	LED38	WS28115050	2	46.36	22.1	0	10	0
MNT=	LED39	WS28115050	2	55.25	22.1	0	10	0
MNT=	LED40	WS28115050	2	64.14	22.1	0	10	0
MNT=	LED41	WS28115050	2	1.91	13.21	0	10	0
MNT=	LED42	WS28115050	2	10.79	13.21	0	10	0
MNT=	LED43	WS28115050	2	19.69	13.21	0	10	0
MNT=	LED44	WS28115050	2	28.58	13.21	0	10	0
MNT=	LED45	WS28115050	2	37.47	13.21	0	10	0
MNT=	LED46	WS28115050	2	46.36	13.21	0	10	0
MNT=	LED47	WS28115050	2	55.25	13.21	0	10	0
MNT=	LED48	WS28115050	2	64.14	13.21	0	10	0
MNT=	LED49	WS28115050	2	1.91	4.32	0	10	0
MNT=	LED50	WS28115050	2	10.79	4.32	0	10	0
MNT=	LED51	WS28115050	2	19.69	4.32	0	10	0
MNT=	LED52	WS28115050	2	28.58	4.32	0	10	0
MNT=	LED53	WS28115050	2	37.47	4.32	0	10	0
MNT=	LED54	WS28115050	2	46.36	4.32	0	10	0
MNT=	LED55	WS28115050	2	55.25	4.32	0	10	0
MNT=	LED56	WS28115050	2	64.14	4.32	0	10	0
MNT=	LED57	WS28115050	2	1.91	-4.57	0	10	0
MNT=	LED58	WS28115050	2	10.79	-4.57	0	10	0
MNT=	LED59	WS28115050	2	19.69	-4.57	0	10	0
MNT=	LED60	WS28115050	2	28.58	-4.57	0	10	0
MNT=	LED61	WS28115050	2	37.47	-4.57	0	10	0
MNT=	LED62	WS28115050	2	46.36	-4.57	0	10	0
MNT=	LED63	WS28115050	2	55.25	-4.57	0	10	0
MNT=	LED64	WS28115050	2	64.14	-4.57	0	10	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	51
#END#
