#ORIGIN#											
ORG=	26.262	6.913									
#BOARD#											
SIZ=	13100	7550						
#MOUNT#
MNT=	LED35	WS2812/B5050	2	52.52	-8.28	30	10	0
MNT=	LED36	WS2812/B5050	2	43.11	-12.18	15	10	0
MNT=	LED37	WS2812/B5050	2	33.02	-13.5	0	10	0
MNT=	LED38	WS2812/B5050	2	22.93	-12.18	345	10	0
MNT=	LED39	WS2812/B5050	2	13.52	-8.28	330	10	0
MNT=	LED40	WS2812/B5050	2	5.44	-2.08	315	10	0
MNT=	LED41	WS2812/B5050	2	-0.75	6	300	10	0
MNT=	LED42	WS2812/B5050	2	-4.65	15.4	285	10	0
MNT=	LED43	WS2812/B5050	2	-5.98	25.5	270	10	0
MNT=	LED44	WS2812/B5050	2	-4.65	35.59	255	10	0
MNT=	LED45	WS2812/B5050	2	-0.75	45	240	10	0
MNT=	LED46	WS2812/B5050	2	5.44	53.07	225	10	0
MNT=	LED47	WS2812/B5050	2	13.52	59.27	210	10	0
MNT=	LED48	WS2812/B5050	2	22.93	63.17	195	10	0
MNT=	LED49	WS2812/B5050	2	33.02	46.5	180	10	0
MNT=	LED50	WS2812/B5050	2	43.52	43.68	150	10	0
MNT=	LED51	WS2812/B5050	2	51.21	36	120	10	0
MNT=	LED52	WS2812/B5050	2	54.02	25.5	90	10	0
MNT=	LED53	WS2812/B5050	2	51.21	15	60	10	0
MNT=	LED54	WS2812/B5050	2	43.52	7.31	30	10	0
MNT=	LED55	WS2812/B5050	2	33.02	4.5	0	10	0
MNT=	LED56	WS2812/B5050	2	22.52	7.31	330	10	0
MNT=	LED57	WS2812/B5050	2	14.83	15	300	10	0
MNT=	LED58	WS2812/B5050	2	12.02	25.5	270	10	0
MNT=	LED59	WS2812/B5050	2	14.83	36	240	10	0
MNT=	LED60	WS2812/B5050	2	22.52	43.68	210	10	0
MNT=	LED61	WS2812/B5050	2	33.02	25.5	90	10	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.0	2
#END#
